BARANGAY,MUNICIPALITY,PROVINCE
San Nicolas,Concepcion,Tarlac
San Vicente,Concepcion,Tarlac
Santa Lucia,Concepcion,Tarlac
Santa Monica,Concepcion,Tarlac
Santa Rita,Concepcion,Tarlac
Santo Cristo,Concepcion,Tarlac
Santo Niño,Concepcion,Tarlac
Sipat,Concepcion,Tarlac
Abagon,Gerona,Tarlac
Ablang Sapang,Gerona,Tarlac
Aglipay,Gerona,Tarlac
Amacalan,Gerona,Tarlac
Amsic,Gerona,Tarlac
Aplaya,Gerona,Tarlac
Balite,Gerona,Tarlac
Baybayabas,Gerona,Tarlac
Buenavista,Gerona,Tarlac
Cabuluan,Gerona,Tarlac
Cadsalan,Gerona,Tarlac
Calayaan,Gerona,Tarlac
Camposanto,Gerona,Tarlac
Caturay,Gerona,Tarlac
Don Basilio,Gerona,Tarlac
Gubat,Gerona,Tarlac
Lambayan,Gerona,Tarlac
Lomboy,Gerona,Tarlac
Lusca,Gerona,Tarlac
Mabini,Gerona,Tarlac
Malayantoc,Gerona,Tarlac
Mangga,Gerona,Tarlac
Mangusing,Gerona,Tarlac
Maticmatic,Gerona,Tarlac
Nagwirong,Gerona,Tarlac
Nagpandayan,Gerona,Tarlac
Padapada,Gerona,Tarlac
Palis,Gerona,Tarlac
Paluka,Gerona,Tarlac
Parang,Gerona,Tarlac
Patag,Gerona,Tarlac
Poblacion,Gerona,Tarlac
Purok,Gerona,Tarlac
Salapungan,Gerona,Tarlac
San Agustin,Gerona,Tarlac
San Antonio,Gerona,Tarlac
San Bartolome,Gerona,Tarlac
San Jose,Gerona,Tarlac
San Juan,Gerona,Tarlac
San Lucas,Gerona,Tarlac
San Miguel,Gerona,Tarlac
San Pedro,Gerona,Tarlac
Santo Niño,Gerona,Tarlac
Sibul,Gerona,Tarlac
Sibul Malaki,Gerona,Tarlac
Sibul Mangga,Gerona,Tarlac
Silang,Gerona,Tarlac
Sulipa,Gerona,Tarlac
Sulo,Gerona,Tarlac
Tagumbao,Gerona,Tarlac
Target,Gerona,Tarlac
Temperancia,Gerona,Tarlac
Toclong,Gerona,Tarlac
Toledo,Gerona,Tarlac
Tres Marias,Gerona,Tarlac
Villa Aglipay,Gerona,Tarlac
Villa Aguas,Gerona,Tarlac
Villa Flores,Gerona,Tarlac
Villa Gavino,Gerona,Tarlac
Villa Ramirez,Gerona,Tarlac
Villa Rizal,Gerona,Tarlac
Balanoy,La Paz,Tarlac
Bantog-Carait,La Paz,Tarlac
Bantog-Saluad,La Paz,Tarlac
Barangay I (Pob.),La Paz,Tarlac
Barangay II (Pob.),La Paz,Tarlac
Barangay III (Pob.),La Paz,Tarlac
Barangay IV (Pob.),La Paz,Tarlac
Barangay V (Pob.),La Paz,Tarlac
Barangay VI (Pob.),La Paz,Tarlac
Cato,La Paz,Tarlac
Colibangbang,La Paz,Tarlac
Dagao,La Paz,Tarlac
Dinep,La Paz,Tarlac
K. Murillo,La Paz,Tarlac
Labney,La Paz,Tarlac
Mabul,La Paz,Tarlac
Macalong,La Paz,Tarlac
Mayang,La Paz,Tarlac
Nagsulang,La Paz,Tarlac
Paz,La Paz,Tarlac
Rizal,La Paz,Tarlac
Ambalingit,Mayantoc,Tarlac
Baybayaoas,Mayantoc,Tarlac
Bigbiga,Mayantoc,Tarlac
Binbinaca,Mayantoc,Tarlac
Calabmayan,Mayantoc,Tarlac
Cabangiran,Mayantoc,Tarlac
Cahabaan,Mayantoc,Tarlac
Calipayan,Mayantoc,Tarlac
Canabay,Mayantoc,Tarlac
Comon,Mayantoc,Tarlac
Gayonggayong,Mayantoc,Tarlac
Guimba,Mayantoc,Tarlac
Ibguit,Mayantoc,Tarlac
Lalapangan,Mayantoc,Tarlac
Lampitak,Mayantoc,Tarlac
Libay,Mayantoc,Tarlac
Mamonit,Mayantoc,Tarlac
Mangolayon,Mayantoc,Tarlac
Mayamat,Mayantoc,Tarlac
Nambalan,Mayantoc,Tarlac
Poblacion Norte,Mayantoc,Tarlac
Poblacion Sur,Mayantoc,Tarlac
San Bartolome,Mayantoc,Tarlac
San Isidro,Mayantoc,Tarlac
Abaga,Moncada,Tarlac
Andarayan,Moncada,Tarlac
Bangar,Moncada,Tarlac
Cabuluan,Moncada,Tarlac
Calitlitan,Moncada,Tarlac
Calma,Moncada,Tarlac
Camangaan East,Moncada,Tarlac
Camangaan West,Moncada,Tarlac
Camiling,Moncada,Tarlac
Camposanto 1 Norte,Moncada,Tarlac
Camposanto 1 Sur,Moncada,Tarlac
Camposanto 2,Moncada,Tarlac
Capao,Moncada,Tarlac
Carcueva,Moncada,Tarlac
Cawayan,Moncada,Tarlac
Cawayan Bugtong,Moncada,Tarlac
Central East,Moncada,Tarlac
Central West,Moncada,Tarlac
Concepcion,Moncada,Tarlac
Dolores,Moncada,Tarlac
Don Ramon,Moncada,Tarlac
Hacienda,Moncada,Tarlac
Lapnit,Moncada,Tarlac
Longos,Moncada,Tarlac
Lourdes,Moncada,Tarlac
Mabini,Moncada,Tarlac
Mabuhay,Moncada,Tarlac
Malate,Moncada,Tarlac
Manaois,Moncada,Tarlac
Matam-is,Moncada,Tarlac
Matanlang,Moncada,Tarlac
Maysan,Moncada,Tarlac
Nampalogan,Moncada,Tarlac
Paso,Moncada,Tarlac
Poblacion I,Moncada,Tarlac
Poblacion II,Moncada,Tarlac
Poblacion III,Moncada,Tarlac
Poblacion IV,Moncada,Tarlac
Poblacion V,Moncada,Tarlac
Pula,Moncada,Tarlac
Quezon,Moncada,Tarlac
Rizal,Moncada,Tarlac
San Andres,Moncada,Tarlac
San Carlos,Moncada,Tarlac
San Juan,Moncada,Tarlac
San Leon,Moncada,Tarlac
San Miguel,Moncada,Tarlac
San Pedro,Moncada,Tarlac
San Rafael,Moncada,Tarlac
San Roque,Moncada,Tarlac
Santa Lucia,Moncada,Tarlac
Santa Maria,Moncada,Tarlac
Santo Niño,Moncada,Tarlac
Santo Tomas,Moncada,Tarlac
Sapang Maragul,Moncada,Tarlac
Tapiat,Moncada,Tarlac
Toledo,Moncada,Tarlac
Tubigan,Moncada,Tarlac
Villa Hermosa,Moncada,Tarlac
Villa Ilang-Ilang,Moncada,Tarlac
Villa Rizal,Moncada,Tarlac
Abogado,Paniqui,Tarlac
Alcalde,Paniqui,Tarlac
Bacnar,Paniqui,Tarlac
Bagong Bayan,Paniqui,Tarlac
Balanti,Paniqui,Tarlac
Bamban,Paniqui,Tarlac
Bantog,Paniqui,Tarlac
Bisaya,Paniqui,Tarlac
Bobon,Paniqui,Tarlac
Buenavista,Paniqui,Tarlac
Cabayaoasan,Paniqui,Tarlac
Canan,Paniqui,Tarlac
Cabuluan,Paniqui,Tarlac
Calingcuan,Paniqui,Tarlac
Camias,Paniqui,Tarlac
Carino,Paniqui,Tarlac
Carosalesan,Paniqui,Tarlac
Cayao,Paniqui,Tarlac
Colibangbang,Paniqui,Tarlac
Dumarais,Paniqui,Tarlac
Galeran,Paniqui,Tarlac
Garcia,Paniqui,Tarlac
Herrera,Paniqui,Tarlac
Igang,Paniqui,Tarlac
Isla,Paniqui,Tarlac
Lanting,Paniqui,Tarlac
Lomboy,Paniqui,Tarlac
Mabini,Paniqui,Tarlac
Malasa,Paniqui,Tarlac
Mangilaya,Paniqui,Tarlac
Matanlang,Paniqui,Tarlac
Naranjo,Paniqui,Tarlac
Nancamarinan,Paniqui,Tarlac
Padilla,Paniqui,Tarlac
Pagsaluhan,Paniqui,Tarlac
Pambar,Paniqui,Tarlac
Parungao,Paniqui,Tarlac
Poblacion Norte,Paniqui,Tarlac
Poblacion Sur,Paniqui,Tarlac
Ramos,Paniqui,Tarlac
Rizal,Paniqui,Tarlac
Salapungan,Paniqui,Tarlac
San Agustin,Paniqui,Tarlac
San Andres,Paniqui,Tarlac
San Benito,Paniqui,Tarlac
San Francisco,Paniqui,Tarlac
San Isidro,Paniqui,Tarlac
San Juan de Regla,Paniqui,Tarlac
San Jose,Paniqui,Tarlac
San Miguel,Paniqui,Tarlac
San Pedro,Paniqui,Tarlac
San Roque,Paniqui,Tarlac
San Vicente,Paniqui,Tarlac
Santa Barbara,Paniqui,Tarlac
Santa Cruz,Paniqui,Tarlac
Santa Rita,Paniqui,Tarlac
Santo Niño,Paniqui,Tarlac
Santo Rosario,Paniqui,Tarlac
Sapa,Paniqui,Tarlac
Sinulatan,Paniqui,Tarlac
Sulib,Paniqui,Tarlac
Tablang,Paniqui,Tarlac
Tagpos,Paniqui,Tarlac
Tibag,Paniqui,Tarlac
Tinang,Paniqui,Tarlac
Villa,Paniqui,Tarlac
Villaflores,Paniqui,Tarlac
Villanueva,Paniqui,Tarlac
Linao,Pura,Tarlac
Mabilog,Pura,Tarlac
Maasin,Pura,Tarlac
Naya,Pura,Tarlac
Nilasin 1st,Pura,Tarlac
Nilasin 2nd,Pura,Tarlac
Poblacion 1,Pura,Tarlac
Poblacion 2,Pura,Tarlac
Poblacion 3,Pura,Tarlac
Poroc,Pura,Tarlac
Rizal,Pura,Tarlac
Samput,Pura,Tarlac
Singat,Pura,Tarlac
Santo Niño 1st,Pura,Tarlac
Santo Niño 2nd,Pura,Tarlac
Santo Rosario,Pura,Tarlac
Talimundoc,Pura,Tarlac
Calilayan,Ramos,Tarlac
Comillas,Ramos,Tarlac
Guevara,Ramos,Tarlac
Kalang,Ramos,Tarlac
Lapnit,Ramos,Tarlac
Poblacion Center,Ramos,Tarlac
San Juan,Ramos,Tarlac
San Miguel,Ramos,Tarlac
San Sebastian,Ramos,Tarlac
Anonang Norte,San Clemente,Tarlac
Anonang Sur,San Clemente,Tarlac
Bagbag,San Clemente,Tarlac
Bamban,San Clemente,Tarlac
Casecnan,San Clemente,Tarlac
Cuenca,San Clemente,Tarlac
Mangandingay,San Clemente,Tarlac
Masic,San Clemente,Tarlac
Maasin,San Clemente,Tarlac
Pili,San Clemente,Tarlac
Poblacion Norte,San Clemente,Tarlac
Poblacion Sur,San Clemente,Tarlac
San Isidro,San Clemente,Tarlac
San Marcos,San Clemente,Tarlac
San Pablo,San Clemente,Tarlac
Santa Rosa,San Clemente,Tarlac
Santo Niño,San Clemente,Tarlac
Aguilar,San Jose,Tarlac
Burgos,San Jose,Tarlac
Burgos II,San Jose,Tarlac
Burgos III,San Jose,Tarlac
Calaitan,San Jose,Tarlac
Cambing,San Jose,Tarlac
Cameron,San Jose,Tarlac
Candelaria,San Jose,Tarlac
Canrubang,San Jose,Tarlac
Casilagan,San Jose,Tarlac
Corazon,San Jose,Tarlac
Fianza,San Jose,Tarlac
Iba,San Jose,Tarlac
La Consolacion,San Jose,Tarlac
Lanete,San Jose,Tarlac
Luna,San Jose,Tarlac
Mabuhay,San Jose,Tarlac
Malacampa,San Jose,Tarlac
Mangalit,San Jose,Tarlac
Maqueb,San Jose,Tarlac
Maturanoc,San Jose,Tarlac
Nambalan,San Jose,Tarlac
Pinaripad,San Jose,Tarlac
Poblacion,San Jose,Tarlac
Pulong,San Jose,Tarlac
Rizal,San Jose,Tarlac
San Agustin,San Jose,Tarlac
San Andres,San Jose,Tarlac
San Antonio,San Jose,Tarlac
San Bartolome,San Jose,Tarlac
San Fernando,San Jose,Tarlac
San Francisco,San Jose,Tarlac
San Gabriel,San Jose,Tarlac
San Isidro,San Jose,Tarlac
San Juan,San Jose,Tarlac
San Juan Bautista,San Jose,Tarlac
San Juan de Dios,San Jose,Tarlac
San Lorenzo,San Jose,Tarlac
San Luis,San Jose,Tarlac
San Manuel,San Jose,Tarlac
San Miguel,San Jose,Tarlac
San Nicolas,San Jose,Tarlac
San Pablo,San Jose,Tarlac
San Pascual,San Jose,Tarlac
San Pedro,San Jose,Tarlac
San Rafael,San Jose,Tarlac
San Roque,San Jose,Tarlac
San Sebastian,San Jose,Tarlac
San Vicente,San Jose,Tarlac
Santa Catalina,San Jose,Tarlac
Santa Cruz,San Jose,Tarlac
Santa Elena,San Jose,Tarlac
Santa Lucia,San Jose,Tarlac
Santa Maria,San Jose,Tarlac
Santa Rita,San Jose,Tarlac
Santo Cristo,San Jose,Tarlac
Santo Niño,San Jose,Tarlac
Santo Tomas,San Jose,Tarlac
Sapa,San Jose,Tarlac
Sibul,San Jose,Tarlac
Sinigpit,San Jose,Tarlac
Tabao,San Jose,Tarlac
Tagumbao,San Jose,Tarlac
Tibag,San Jose,Tarlac
Tubigan,San Jose,Tarlac
Unib,San Jose,Tarlac
Vietnamburgos,San Jose,Tarlac
Villa Aglipay,San Jose,Tarlac
Villa Concepcion,San Jose,Tarlac
Villa Estrella,San Jose,Tarlac
Villa Gonzalez,San Jose,Tarlac
Villa Maria,San Jose,Tarlac
Villa Nizza,San Jose,Tarlac
Villa Rosario,San Jose,Tarlac
Villa San Jose,San Jose,Tarlac
Abot,San Manuel,Tarlac
Aguso,San Manuel,Tarlac
Alang-alang,San Manuel,Tarlac
Baluyut,San Manuel,Tarlac
Calbalete,San Manuel,Tarlac
Calsib,San Manuel,Tarlac
Canite,San Manuel,Tarlac
Canao,San Manuel,Tarlac
Cayanga,San Manuel,Tarlac
Colibangbang,San Manuel,Tarlac
Garcia,San Manuel,Tarlac
Guevarra,San Manuel,Tarlac
Laruan,San Manuel,Tarlac
Lourdes,San Manuel,Tarlac
Manaoag,San Manuel,Tarlac
Masantol,San Manuel,Tarlac
Nabu,San Manuel,Tarlac
Padapada,San Manuel,Tarlac
Panday Pira,San Manuel,Tarlac
Pannaratan,San Manuel,Tarlac
Poblacion,San Manuel,Tarlac
Radiw,San Manuel,Tarlac
Ramos,San Manuel,Tarlac
Rizam,San Manuel,Tarlac
Salapungan,San Manuel,Tarlac
San Cristobal,San Manuel,Tarlac
San Felipe,San Manuel,Tarlac
San Gregorio,San Manuel,Tarlac
San Isidro,San Manuel,Tarlac
San Jose,San Manuel,Tarlac
San Juan,San Manuel,Tarlac
San Lucas,San Manuel,Tarlac
San Marcelino,San Manuel,Tarlac
San Martin,San Manuel,Tarlac
San Mateo,San Manuel,Tarlac
San Miguel,San Manuel,Tarlac
San Nicolas,San Manuel,Tarlac
San Pablo,San Manuel,Tarlac
San Pedro,San Manuel,Tarlac
San Rafael,San Manuel,Tarlac
San Roque,San Manuel,Tarlac
San Vicente,San Manuel,Tarlac
Santa Ana,San Manuel,Tarlac
Santa Barbara,San Manuel,Tarlac
Santa Cruz,San Manuel,Tarlac
Santa Elena,San Manuel,Tarlac
Santa Fe,San Manuel,Tarlac
Santa Isabel,San Manuel,Tarlac
Santa Lucia,San Manuel,Tarlac
Santa Maria,San Manuel,Tarlac
Santa Monica,San Manuel,Tarlac
Santa Rita,San Manuel,Tarlac
Santa Rosa,San Manuel,Tarlac
Santo Cristo,San Manuel,Tarlac
Santo Domingo,San Manuel,Tarlac
Santo Niño,San Manuel,Tarlac
Santo Tomas,San Manuel,Tarlac
Sinait,San Manuel,Tarlac
Sison,San Manuel,Tarlac
Tabar,San Manuel,Tarlac
Tagabo,San Manuel,Tarlac
Tagumbao,San Manuel,Tarlac
Talimundoc,San Manuel,Tarlac
Tampaan,San Manuel,Tarlac
Tawiran,San Manuel,Tarlac
Toledo,San Manuel,Tarlac
Ugad,San Manuel,Tarlac
Uyong,San Manuel,Tarlac
Villa Aglipay,San Manuel,Tarlac
Villa Cadia,San Manuel,Tarlac
Villa Concepcion,San Manuel,Tarlac
Villa Corazon,San Manuel,Tarlac
Villa Flores,San Manuel,Tarlac
Villa Grace,San Manuel,Tarlac
Villa Leonor,San Manuel,Tarlac
Villa Luz,San Manuel,Tarlac
Villa Paz,San Manuel,Tarlac
Villa Rita,San Manuel,Tarlac
Villa Rosario,San Manuel,Tarlac
Villa Teresa,San Manuel,Tarlac
Villa Victoria,San Manuel,Tarlac
Baldios,Santa Ignacia,Tarlac
Botbotones,Santa Ignacia,Tarlac
Caanamongan,Santa Ignacia,Tarlac
Cabaruan,Santa Ignacia,Tarlac
Cabugbugan,Santa Ignacia,Tarlac
Caduldulaoan,Santa Ignacia,Tarlac
Calipayan,Santa Ignacia,Tarlac
Macaguing,Santa Ignacia,Tarlac
Nambalan,Santa Ignacia,Tarlac
Padapada,Santa Ignacia,Tarlac
Poblacion East,Santa Ignacia,Tarlac
Poblacion West,Santa Ignacia,Tarlac
San Agustin,Santa Ignacia,Tarlac
San Antonio,Santa Ignacia,Tarlac
San Francisco,Santa Ignacia,Tarlac
San Juan,Santa Ignacia,Tarlac
San Lorenzo,Santa Ignacia,Tarlac
San Vicente,Santa Ignacia,Tarlac
Santa Ines,Santa Ignacia,Tarlac
Santa Maria,Santa Ignacia,Tarlac
Santa Rita,Santa Ignacia,Tarlac
Santo Niño,Santa Ignacia,Tarlac
Santo Tomas,Santa Ignacia,Tarlac
Sinalbagan,Santa Ignacia,Tarlac
Bacungan,Victoria,Tarlac
Baluart,Victoria,Tarlac
Bangar,Victoria,Tarlac
Bantog,Victoria,Tarlac
Bayanbayanan,Victoria,Tarlac
Calibungan,Victoria,Tarlac
Canarem,Victoria,Tarlac
Cariño,Victoria,Tarlac
Casantolan,Victoria,Tarlac
Concepcion,Victoria,Tarlac
Culubasa,Victoria,Tarlac
Estacion,Victoria,Tarlac
Gubat,Victoria,Tarlac
Lalapac,Victoria,Tarlac
Mabini,Victoria,Tarlac
Malabago,Victoria,Tarlac
Malorena,Victoria,Tarlac
Malvar,Victoria,Tarlac
Mapandan,Victoria,Tarlac
Merrising,Victoria,Tarlac
Militar,Victoria,Tarlac
Mozzozzin,Victoria,Tarlac
Nagrebcan,Victoria,Tarlac
Old Pagaspas,Victoria,Tarlac
Pagaspas,Victoria,Tarlac
Poblacion,Victoria,Tarlac
Quirino,Victoria,Tarlac
Rizal,Victoria,Tarlac
San Antonio,Victoria,Tarlac
San Bartolome,Victoria,Tarlac
San Francisco,Victoria,Tarlac
San Gabriel,Victoria,Tarlac
San Isidro,Victoria,Tarlac
San Jose,Victoria,Tarlac
San Juan,Victoria,Tarlac
San Luis,Victoria,Tarlac
San Marcelino,Victoria,Tarlac
San Mateo,Victoria,Tarlac
San Miguel,Victoria,Tarlac
San Nicolas,Victoria,Tarlac
San Pablo,Victoria,Tarlac
San Pedro,Victoria,Tarlac
San Rafael,Victoria,Tarlac
San Roque,Victoria,Tarlac
San Sebastian,Victoria,Tarlac
San Vicente,Victoria,Tarlac
Santa Catalina,Victoria,Tarlac
Santa Cruz,Victoria,Tarlac
Santa Elena,Victoria,Tarlac
Santa Lucia,Victoria,Tarlac
Santa Maria,Victoria,Tarlac
Santa Monica,Victoria,Tarlac
Santa Rita,Victoria,Tarlac
Santo Cristo,Victoria,Tarlac
Santo Domingo,Victoria,Tarlac
Santo Niño,Victoria,Tarlac
Santo Rosario,Victoria,Tarlac
Sapa,Victoria,Tarlac
Sinait,Victoria,Tarlac
Sulib,Victoria,Tarlac
Tabug,Victoria,Tarlac
Taguing,Victoria,Tarlac
Talimundoc,Victoria,Tarlac
Tambac,Victoria,Tarlac
Tambang,Victoria,Tarlac
Toledo,Victoria,Tarlac
Tubuan,Victoria,Tarlac
Ubando,Victoria,Tarlac
Villa Aglipay,Victoria,Tarlac
Villa Concepcion,Victoria,Tarlac
Villa Marcos,Victoria,Tarlac
Villa Rosario,Victoria,Tarlac
